unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,9534,9525,9,4641,3004,1,JP,SP
2,1179,1177,2,558,479,1,,
3,2750,1256,1494,487,590,0,,
4,3903,1780,2123,741,797,0,,
5,3282,1485,1797,713,574,0,,
6,3523,1708,1815,739,728,0,,
7,591,590,1,352,201,1,,
8,3093,1972,1121,1347,478,0,,
9,1028,510,518,166,279,0,,
10,4214,2344,1870,1247,817,0,,
11,3186,2022,1164,1446,432,0,,
12,1125,1125,0,719,338,1,,
13,1344,670,674,273,338,0,,
14,4828,2759,2069,1774,708,0,,
15,3665,2377,1288,1613,596,0,,
16,4522,2928,1594,2019,639,0,,
17,2895,1485,1410,840,465,0,,
18,4470,2619,1851,1451,831,0,,
19,1622,1620,2,794,651,1,,
20,3761,1764,1997,815,676,0,,
21,3852,1738,2114,796,715,0,,
22,3918,1815,2103,858,709,0,,
23,3820,2568,1252,1416,873,0,,
24,3336,2132,1204,1118,802,0,,
25,910,907,3,473,376,1,,
26,2858,1649,1209,882,567,0,,
27,3015,1831,1184,905,786,0,,
28,2871,1713,1158,940,596,0,,
29,2028,2028,0,932,875,1,,
30,2982,1443,1539,641,678,0,,
31,3456,1675,1781,764,705,0,,
32,3558,1901,1657,868,810,0,,
33,4321,1828,2493,836,780,0,,
34,1826,950,876,351,493,0,,
35,3503,1948,1555,1029,721,0,,
36,3308,1883,1425,1011,719,0,,
37,1479,1478,1,662,666,1,,
38,2542,1120,1422,465,499,0,,
39,3005,1687,1318,670,831,0,,
40,4499,2466,2033,1152,1050,0,,
41,3044,1464,1580,571,740,0,,
42,3617,1484,2133,603,709,0,,
43,3401,1386,2015,641,583,0,,
44,5689,2664,3025,1210,1101,0,,
45,3358,3357,1,1860,1186,1,,
46,3149,2026,1123,1155,680,0,,
47,3266,1987,1279,1102,669,0,,
48,3559,2092,1467,1134,723,0,,
49,2919,1788,1131,906,684,0,,
50,3739,2382,1357,1152,1053,0,,
51,3225,1523,1702,742,538,0,,
52,2788,1197,1591,594,436,0,,
53,3301,2157,1144,1026,960,0,,
54,3303,1678,1625,941,548,0,,
55,2188,2188,0,1463,571,1,,
56,3686,2009,1677,1194,600,0,,
57,3925,2390,1535,1454,655,0,,
58,3752,2366,1386,1391,687,0,,
59,3187,2136,1051,1243,727,0,,
60,3410,2237,1173,1400,657,0,,
61,2501,1698,803,951,598,0,,
62,3404,2035,1369,1278,556,0,,
63,1685,1685,0,935,629,1,,
64,4702,2356,2346,1281,845,0,,
65,2952,1709,1243,767,720,0,,
66,2616,1479,1137,785,584,0,,
67,3132,2009,1123,1156,678,0,,
68,3435,1863,1572,852,879,0,,
69,4443,2722,1721,1346,1135,0,,
