unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,6036,6029,7,2628,2031,1,DPK,SP
2,1008,1008,0,402,392,1,,
3,3643,1806,1837,774,613,0,,
4,2615,1370,1245,510,508,0,,
5,3207,1522,1685,549,581,0,,
6,3031,1577,1454,608,595,0,,
7,1232,1232,0,565,412,1,,
8,3432,1687,1745,699,572,0,,
9,3657,2016,1641,816,750,0,,
10,3807,1923,1884,755,720,0,,
11,2661,1289,1372,524,478,0,,
12,3568,1889,1679,732,709,0,,
13,898,898,0,360,349,1,,
14,2665,1441,1224,520,551,0,,
15,2507,1319,1188,505,527,0,,
16,2971,1492,1479,554,572,0,,
17,3145,1443,1702,532,549,0,,
18,2581,1242,1339,429,505,0,,
19,1633,1633,0,672,637,1,,
20,2964,1631,1333,649,648,0,,
21,3505,2088,1417,815,754,0,,
22,3407,1674,1733,649,647,0,,
23,3145,1571,1574,591,598,0,,
24,3624,1862,1762,768,691,0,,
25,3627,1832,1795,688,733,0,,
26,4025,2225,1800,816,847,0,,
27,830,829,1,414,246,1,,
28,2567,1281,1286,545,468,0,,
29,2852,1568,1284,697,547,0,,
30,3375,1871,1504,837,611,0,,
31,1222,1222,0,513,467,1,,
32,3570,1780,1790,717,623,0,,
33,3557,1879,1678,667,776,0,,
34,3092,1723,1369,658,680,0,,
35,3210,1730,1480,678,659,0,,
36,2849,1457,1392,545,550,0,,
37,2786,1537,1249,559,619,0,,
38,1835,1834,1,731,767,1,,
39,4400,2259,2141,776,1037,0,,
40,3078,1752,1326,457,1004,0,,
41,3750,2395,1355,1064,838,0,,
42,4017,2791,1226,1314,918,0,,
43,4579,2976,1603,1357,1022,0,,
44,4062,2545,1517,950,1096,0,,
45,1068,1068,0,502,359,1,,
46,3466,1728,1738,767,552,0,,
47,2226,1183,1043,527,397,0,,
48,2453,1262,1191,497,438,0,,
49,2792,1393,1399,555,508,0,,
50,2561,1447,1114,557,606,0,,
51,2869,1512,1357,611,541,0,,
