unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,10924,10918,6,6439,4177,1,DPK,UFP
2,4418,4418,0,2696,1648,1,,
3,3030,1644,1386,757,829,0,,
4,3030,1749,1281,902,793,0,,
5,2915,1703,1212,845,805,0,,
6,2557,1445,1112,764,620,0,,
7,2870,1593,1277,774,748,0,,
8,5438,5437,1,3007,2341,1,,
9,3074,2252,822,795,1412,0,,
10,2826,1831,995,901,853,0,,
11,3441,2096,1345,1033,1003,0,,
12,2654,1627,1027,621,962,0,,
13,3338,2302,1036,924,1322,0,,
14,2998,2264,734,696,1531,0,,
15,5171,5170,1,3042,2016,1,,
16,2479,1248,1231,647,548,0,,
17,2447,1530,917,729,744,0,,
18,3154,1852,1302,875,915,0,,
19,2055,1165,890,546,570,0,,
20,2082,1030,1052,517,471,0,,
21,2235,1290,945,635,600,0,,
22,4537,4537,0,2599,1867,1,,
23,2826,1625,1201,670,923,0,,
24,2966,1946,1020,695,1195,0,,
25,2558,1532,1026,735,746,0,,
26,2391,1488,903,666,782,0,,
27,2368,1392,976,708,640,0,,
28,2842,1730,1112,912,764,0,,
29,6324,6323,1,3356,2870,1,,
30,2527,1467,1060,618,797,0,,
31,2773,1809,964,689,1090,0,,
32,2398,1717,681,738,946,0,,
33,2202,1549,653,699,816,0,,
34,2177,1546,631,612,906,0,,
35,1430,839,591,401,409,0,,
36,2955,2143,812,484,1632,0,,
37,4028,4028,0,2236,1729,1,,
38,2135,995,1140,409,569,0,,
39,2244,1400,844,557,816,0,,
40,1926,1076,850,454,591,0,,
41,1983,1033,950,513,491,0,,
42,2077,1136,941,513,590,0,,
43,1564,952,612,426,499,0,,
44,3646,3646,0,2344,1188,1,,
45,4419,1988,2431,1021,871,0,,
46,2458,1254,1204,619,583,0,,
47,2724,1410,1314,687,668,0,,
48,2279,1144,1135,570,500,0,,
49,2253,1200,1053,591,561,0,,
50,1466,719,747,328,358,0,,
