unit,n.rv,n.v,n.a,n.w,n.o,ind,p.prw,p.pro,n.prw,n.pro,n.prrv,n.prv,n.pra,winning,opposing
1,10007,9994,13,6472,3169,1,0.331632653,0.262204882,3315,2621,10007,9996,11,DPK,UFP
2,3185,3184,1,2253,878,1,0.378021978,0.235164835,1204,749,3185,3185,0,,
3,2253,1261,992,586,634,0,0.224425059,0.394924663,283,498,2253,1261,992,,
4,2077,1220,857,576,606,0,0.230327869,0.405737705,281,495,2077,1220,857,,
5,2146,1348,798,736,572,0,0.291543027,0.328635015,393,443,2146,1348,798,,
6,2549,2549,0,1502,1007,1,0.314633189,0.339741075,802,866,2549,2549,0,,
7,2169,1064,1105,485,536,0,0.235680751,0.420657277,251,448,2169,1065,1104,,
8,3033,1839,1194,633,1139,0,0.146818923,0.490483959,270,902,3033,1839,1194,,
9,745,745,0,489,243,1,0.351677852,0.272483221,262,203,745,745,0,,
10,1492,762,730,343,389,0,0.236220472,0.421259843,180,321,1492,762,730,,
11,2147,2147,0,1405,705,1,0.353982301,0.283185841,760,608,2147,2147,0,,
12,2287,1260,1027,631,591,0,0.238699445,0.360824742,301,455,2287,1261,1026,,
13,1931,1253,678,651,568,0,0.268954509,0.363926576,337,456,1931,1253,678,,
14,1485,917,568,414,476,0,0.234460196,0.417666303,215,383,1485,917,568,,
15,3977,3977,0,2336,1581,1,0.294945939,0.344480764,1173,1370,3977,3977,0,,
16,2166,1177,989,484,661,0,0.184367035,0.447748513,217,527,2166,1177,989,,
17,3159,1868,1291,589,1235,0,0.157922912,0.472162741,295,882,3159,1868,1291,,
18,1873,1272,601,525,714,0,0.19418239,0.456761006,247,581,1873,1272,601,,
19,1795,1206,589,590,574,0,0.23880597,0.394693201,288,476,1795,1206,589,,
20,1625,941,684,367,551,0,0.180658874,0.469713071,170,442,1625,941,684,,
21,2453,2451,2,1569,829,1,0.356181151,0.290085679,873,711,2453,2451,2,,
22,1647,1146,501,537,571,0,0.230366492,0.387434555,264,444,1647,1146,501,,
23,2516,1496,1020,722,724,0,0.250668449,0.393716578,375,589,2516,1496,1020,,
24,2572,2572,0,1667,858,1,0.366251944,0.281881804,942,725,2572,2572,0,,
25,1565,864,701,477,352,0,0.320601852,0.296296296,277,256,1565,864,701,,
26,1576,830,746,460,331,0,0.309638554,0.324096386,257,269,1576,830,746,,
27,2598,1908,690,802,1058,0,0.184486373,0.431341719,352,823,2598,1908,690,,
28,1589,1588,1,1030,527,1,0.356423174,0.277707809,566,441,1589,1588,1,,
29,2284,1221,1063,631,552,0,0.243243243,0.38001638,297,464,2284,1221,1063,,
30,1212,1212,0,756,420,1,0.345709571,0.297854785,419,361,1212,1212,0,,
31,2283,854,1429,356,462,0,0.240046838,0.43559719,205,372,2285,854,1431,,
32,2672,1399,1273,697,649,0,0.271622588,0.39814153,380,557,2673,1399,1274,,
33,1199,1199,0,773,394,1,0.380316931,0.293577982,456,352,1199,1199,0,,
34,1850,893,957,412,444,0,0.250839866,0.39193729,224,350,1851,893,958,,
35,1550,765,785,427,314,0,0.366013072,0.345098039,280,264,1550,765,785,,
36,2144,2144,0,1479,615,1,0.400652985,0.237406716,859,509,2144,2144,0,,
37,2310,1305,1005,740,517,0,0.316475096,0.30651341,413,400,2310,1305,1005,,
38,2340,1136,1204,603,492,0,0.301056338,0.32306338,342,367,2340,1136,1204,,
39,4338,4334,4,2888,1329,1,0.380073801,0.245387454,1648,1064,4338,4336,2,,
40,2242,1396,846,761,584,0,0.275787966,0.338825215,385,473,2242,1396,846,,
41,2243,1207,1036,616,547,0,0.232808616,0.357912179,281,432,2243,1207,1036,,
42,1945,1139,806,531,562,0,0.216856892,0.391571554,247,446,1945,1139,806,,
43,1430,845,585,472,331,0,0.24852071,0.294674556,210,249,1430,845,585,,
44,1366,754,612,398,314,0,0.282493369,0.298408488,213,225,1366,754,612,,
45,1469,1469,0,1012,424,1,0.447923758,0.240980259,658,354,1469,1469,0,,
46,1100,394,706,208,167,0,0.324873096,0.327411168,128,129,1100,394,706,,
47,2215,1240,975,737,466,0,0.383870968,0.314516129,476,390,2215,1240,975,,
48,1630,1630,0,1191,393,0,0.513496933,0.203680982,837,332,1630,1630,0,,
49,1606,755,851,469,265,0,0.381456954,0.295364238,288,223,1606,755,851,,
50,2135,1234,901,709,486,0,0.37439222,0.314424635,462,388,2135,1234,901,,
51,1916,981,935,646,304,0,0.418960245,0.252803262,411,248,1916,981,935,,
52,1806,1806,0,1241,531,0,0.435769657,0.253045404,787,457,1806,1806,0,,
53,1545,758,787,453,287,0,0.346965699,0.298153034,263,226,1545,758,787,,
54,2455,1563,892,845,686,0,0.304347826,0.368925831,476,577,2455,1564,891,,
55,1502,1502,0,1007,457,1,0.431424767,0.245006658,648,368,1502,1502,0,,
56,2036,927,1109,493,408,0,0.329018339,0.336569579,305,312,2036,927,1109,,
57,1526,833,693,471,339,0,0.325330132,0.322929172,271,269,1526,833,693,,
58,2127,2127,0,1495,586,1,0.436765397,0.234132581,929,498,2127,2127,0,,
59,1997,926,1071,532,352,0,0.307775378,0.289416847,285,268,1997,926,1071,,
60,2119,907,1212,542,337,0,0.342888644,0.302094818,311,274,2119,907,1212,,
61,1879,967,912,596,337,0,0.372285419,0.279214064,360,270,1879,967,912,,
