unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,6931,6929,2,3257,2440,1,DPK,SP
2,1278,1278,0,573,540,1,,
3,3973,2064,1909,899,792,0,,
4,4289,2449,1840,964,1048,0,,
5,3583,2260,1323,1047,882,0,,
6,873,872,1,425,297,1,,
7,3493,1541,1952,624,645,0,,
8,3627,2086,1541,869,855,0,,
9,3041,1718,1323,748,682,0,,
10,2631,1375,1256,636,473,0,,
11,1302,1302,0,647,475,1,,
12,2677,1396,1281,652,472,0,,
13,2574,1363,1211,630,521,0,,
14,3780,2115,1665,956,789,0,,
15,3961,2445,1516,1165,893,0,,
16,1211,1211,0,496,502,1,,
17,3432,1644,1788,658,684,0,,
18,4054,2048,2006,790,918,0,,
19,3806,1642,2164,605,721,0,,
20,3615,1793,1822,725,758,0,,
21,937,936,1,399,395,1,,
22,3533,1717,1816,763,635,0,,
23,3605,2245,1360,830,1067,0,,
24,1906,856,1050,392,313,0,,
25,1040,1040,0,548,351,1,,
26,3969,2117,1852,916,839,0,,
27,2618,1350,1268,612,495,0,,
28,2933,1868,1065,700,851,0,,
29,2684,1237,1447,583,443,0,,
30,3532,2142,1390,991,848,0,,
31,934,934,0,453,334,1,,
32,4345,2120,2225,985,775,0,,
33,3336,1738,1598,733,684,0,,
34,1684,1087,597,455,428,0,,
35,2917,1835,1082,910,615,0,,
36,1353,1352,1,699,496,1,,
37,4278,2319,1959,939,1030,0,,
38,4235,2459,1776,1110,978,0,,
39,2353,1185,1168,496,471,0,,
40,1660,1660,0,893,581,1,,
41,3936,2431,1505,1197,945,0,,
42,3525,2018,1507,1001,717,0,,
43,3824,2283,1541,1012,907,0,,
44,3274,2110,1164,1049,797,0,,
45,3579,2211,1368,1046,831,0,,
46,1368,1368,0,607,590,1,,
47,3092,1733,1359,716,761,0,,
48,3124,1901,1223,855,760,0,,
49,3616,2202,1414,948,946,0,,
50,2851,1495,1356,609,636,0,,
51,2954,1503,1451,560,675,0,,
52,2723,1665,1058,769,640,0,,
53,695,695,0,390,192,1,,
54,2172,1271,901,661,431,0,,
55,2762,1512,1250,668,604,0,,
56,3986,2177,1809,1091,713,0,,
57,652,652,0,281,273,1,,
58,3186,1646,1540,707,603,0,,
59,2827,1402,1425,550,589,0,,
60,2949,1494,1455,621,593,0,,
61,918,918,0,464,309,1,,
62,3448,1521,1927,665,562,0,,
63,3227,1716,1511,727,677,0,,
64,3068,1612,1456,714,608,0,,
65,2843,1475,1368,620,645,0,,
