unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,6545,6539,6,2113,2135,1,SP,PP
2,119,119,0,38,46,1,,
3,457,179,278,77,54,0,,
4,526,302,224,126,83,0,,
5,324,324,0,135,122,1,,
6,3485,1470,2015,724,449,0,,
7,1082,443,639,206,149,0,,
8,289,289,0,129,86,1,,
9,2020,879,1141,372,261,0,,
10,229,75,154,45,15,0,,
11,542,542,0,207,185,1,,
12,1748,846,902,348,291,0,,
13,1576,888,688,374,280,0,,
14,344,344,0,112,126,1,,
15,2173,1102,1071,432,351,0,,
16,1896,1058,838,282,396,0,,
17,232,232,0,112,59,1,,
18,2114,928,1186,404,331,0,,
19,1986,1084,902,512,380,0,,
20,194,194,0,95,66,1,,
21,788,307,481,169,86,0,,
22,673,329,344,145,119,0,,
23,635,635,0,228,252,1,,
24,2544,1084,1460,431,437,0,,
25,1187,547,640,193,191,0,,
26,2399,1213,1186,497,465,0,,
27,867,867,0,342,325,1,,
28,3144,1559,1585,543,599,0,,
29,3088,1669,1419,630,658,0,,
30,2786,1443,1343,478,658,0,,
31,2919,1604,1315,595,622,0,,
32,1048,1048,0,387,413,1,,
33,2056,1021,1035,434,373,0,,
34,2255,1340,915,490,527,0,,
35,3357,2117,1240,795,787,0,,
36,3397,2151,1246,784,840,0,,
37,3383,1847,1536,704,753,0,,
38,760,760,0,291,273,1,,
39,1693,883,810,331,379,0,,
40,2385,1110,1275,362,437,0,,
41,2476,1731,745,751,571,0,,
42,2216,1428,788,487,529,0,,
43,3038,1889,1149,739,682,0,,
44,659,659,0,236,290,1,,
45,2552,1149,1403,432,474,0,,
46,3986,2048,1938,696,880,0,,
47,1180,573,607,214,220,0,,
48,739,739,0,320,270,1,,
49,1752,937,815,326,360,0,,
50,2297,1454,843,593,537,0,,
51,2500,1468,1032,569,564,0,,
52,1901,1018,883,358,452,0,,
53,583,583,0,236,214,1,,
54,4308,2016,2292,692,812,0,,
55,2026,995,1031,348,418,0,,
56,3591,1869,1722,674,672,0,,
57,687,687,0,278,250,1,,
58,1444,661,783,210,229,0,,
59,2947,1435,1512,559,519,0,,
60,2115,1435,680,534,550,0,,
61,645,645,0,298,177,1,,
62,2657,1305,1352,505,423,0,,
63,3807,2110,1697,772,679,0,,
64,3797,2201,1596,819,718,0,,
65,1190,1190,0,479,422,1,,
66,2730,1403,1327,554,477,0,,
67,4122,2098,2024,716,810,0,,
68,4032,2111,1921,781,804,0,,
69,2834,1902,932,692,692,0,,
70,3314,1561,1753,519,561,0,,
71,951,951,0,368,346,1,,
72,3720,1826,1894,632,604,0,,
73,3359,2017,1342,724,669,0,,
74,3765,1913,1852,654,734,0,,
75,1412,1412,0,576,447,1,,
76,3478,2035,1443,752,660,0,,
77,3278,1769,1509,747,521,0,,
78,3556,2083,1473,768,678,0,,
79,3860,1825,2035,828,554,0,,
80,2817,1785,1032,695,563,0,,
