unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1 ,6480 ,6459 ,21 ,2688 ,2619 ,1 ,SP,DPK
2 ,1250 ,1249 ,1 ,520 ,510 ,1 ,,
3 ,3322 ,1527 ,1795 ,671 ,559 ,0 ,,
4 ,3089 ,1622 ,1467 ,723 ,636 ,0 ,,
5 ,3420 ,1620 ,1800 ,743 ,590 ,0 ,,
6 ,3583 ,1983 ,1600 ,881 ,798 ,0 ,,
7 ,1690 ,1689 ,1 ,684 ,723 ,1 ,,
8 ,3100 ,1615 ,1485 ,694 ,675 ,0 ,,
9 ,2687 ,1401 ,1286 ,574 ,588 ,0 ,,
10 ,3131 ,1839 ,1292 ,818 ,725 ,0 ,,
11 ,3610 ,2049 ,1561 ,796 ,952 ,0 ,,
12 ,2646 ,1498 ,1148 ,644 ,592 ,0 ,,
13 ,3531 ,2128 ,1403 ,900 ,918 ,0 ,,
14 ,1129 ,1129 ,0 ,516 ,448 ,1 ,,
15 ,3697 ,2178 ,1519 ,1042 ,785 ,0 ,,
16 ,4059 ,2107 ,1952 ,806 ,900 ,0 ,,
17 ,3804 ,2338 ,1466 ,1138 ,849 ,0 ,,
18 ,1382 ,1382 ,0 ,531 ,622 ,1 ,,
19 ,4264 ,2017 ,2247 ,763 ,890 ,0 ,,
20 ,3927 ,1891 ,2036 ,730 ,835 ,0 ,,
21 ,3820 ,1601 ,2219 ,606 ,719 ,0 ,,
22 ,3913 ,2131 ,1782 ,819 ,901 ,0 ,,
23 ,3883 ,2069 ,1814 ,756 ,903 ,0 ,,
24 ,1464 ,1464 ,0 ,770 ,517 ,1 ,,
25 ,2710 ,1669 ,1041 ,903 ,555 ,0 ,,
26 ,3660 ,2373 ,1287 ,1299 ,776 ,0 ,,
27 ,3347 ,2265 ,1082 ,1180 ,763 ,0 ,,
28 ,3417 ,2065 ,1352 ,1145 ,634 ,0 ,,
29 ,1675 ,1674 ,1 ,613 ,791 ,1 ,,
30 ,3764 ,1811 ,1953 ,625 ,848 ,0 ,,
31 ,2988 ,1591 ,1397 ,688 ,647 ,0 ,,
32 ,2825 ,1436 ,1389 ,550 ,614 ,0 ,,
33 ,3110 ,1588 ,1522 ,580 ,733 ,0 ,,
34 ,3766 ,1938 ,1828 ,682 ,890 ,0 ,,
35 ,3861 ,2178 ,1683 ,954 ,819 ,0 ,,
36 ,1394 ,1394 ,0 ,630 ,559 ,1 ,,
37 ,3536 ,2008 ,1528 ,949 ,705 ,0 ,,
38 ,3727 ,2039 ,1688 ,761 ,864 ,0 ,,
39 ,4058 ,2476 ,1582 ,1128 ,1021 ,0 ,,
40 ,4329 ,2759 ,1570 ,1354 ,1012 ,0 ,,
41 ,2193 ,2193 ,0 ,853 ,1121 ,1 ,,
42 ,3159 ,1797 ,1362 ,675 ,918 ,0 ,,
43 ,3815 ,2524 ,1291 ,934 ,1357 ,0 ,,
44 ,3907 ,2584 ,1323 ,878 ,1504 ,0 ,,
45 ,3952 ,2501 ,1451 ,840 ,1429 ,0 ,,
46 ,2657 ,1743 ,914 ,813 ,672 ,0 ,,
47 ,3445 ,2177 ,1268 ,1195 ,726 ,0 ,,
48 ,1684 ,1684 ,0 ,863 ,622 ,1 ,,
49 ,4264 ,2367 ,1897 ,1260 ,814 ,0 ,,
50 ,4028 ,2293 ,1735 ,1263 ,728 ,0 ,,
51 ,4003 ,2451 ,1552 ,1240 ,865 ,0 ,,
