unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing,
1 ,10160 ,10154 ,6 ,4220 ,5675 ,1 ,UFP,DPK,
2 ,3088 ,3087 ,1 ,1155 ,1877 ,1 ,,,
3 ,2320 ,997 ,1323 ,495 ,471 ,0 ,,,
4 ,2217 ,1184 ,1033 ,592 ,567 ,0 ,,,
5 ,2097 ,1053 ,1044 ,531 ,491 ,0 ,,,
6 ,2551 ,1586 ,965 ,825 ,722 ,0 ,,,
7 ,4760 ,4760 ,0 ,1792 ,2908 ,1 ,,,
8 ,2619 ,1449 ,1170 ,698 ,705 ,0 ,,,
9 ,2845 ,1720 ,1125 ,950 ,740 ,0 ,,,
10 ,2510 ,1531 ,979 ,847 ,652 ,0 ,,,
11 ,2722 ,1631 ,1091 ,756 ,843 ,0 ,,,
12 ,1976 ,1224 ,752 ,636 ,571 ,0 ,,,
13 ,2575 ,1569 ,1006 ,837 ,705 ,0 ,,,
14 ,3640 ,3640 ,0 ,1510 ,2092 ,1 ,,,
15 ,3133 ,1906 ,1227 ,1042 ,819 ,0 ,,,
16 ,3414 ,1956 ,1458 ,923 ,985 ,0 ,,,
17 ,2800 ,1897 ,903 ,1185 ,685 ,0 ,,,
18 ,4217 ,4217 ,0 ,1419 ,2732 ,1 ,,,
19 ,4724 ,2381 ,2343 ,1104 ,1226 ,0 ,,,
20 ,3103 ,1638 ,1465 ,743 ,838 ,0 ,,,
21 ,3138 ,1501 ,1637 ,733 ,734 ,0 ,,,
22 ,3240 ,1957 ,1283 ,899 ,1026 ,0 ,,,
23 ,3226 ,1810 ,1416 ,837 ,932 ,0 ,,,
24 ,4117 ,4116 ,1 ,2320 ,1766 ,1 ,,,
25 ,2022 ,1362 ,660 ,1014 ,327 ,0 ,,,
26 ,2795 ,2033 ,762 ,1378 ,637 ,0 ,,,
27 ,2658 ,1898 ,760 ,1306 ,565 ,0 ,,,
28 ,2562 ,1777 ,785 ,1285 ,460 ,0 ,,,
29 ,4575 ,4575 ,0 ,1576 ,2934 ,1 ,,,
30 ,3170 ,1584 ,1586 ,654 ,895 ,0 ,,,
31 ,2525 ,1540 ,985 ,843 ,675 ,0 ,,,
32 ,2176 ,1197 ,979 ,550 ,622 ,0 ,,,
33 ,2449 ,1380 ,1069 ,643 ,710 ,0 ,,,
34 ,3044 ,1728 ,1316 ,731 ,948 ,0 ,,,
35 ,3051 ,1848 ,1203 ,1032 ,775 ,0 ,,,
36 ,4626 ,4626 ,0 ,2073 ,2509 ,1 ,,,
37 ,2622 ,1543 ,1079 ,923 ,586 ,0 ,,,
38 ,2784 ,1685 ,1099 ,811 ,825 ,0 ,,,
39 ,3020 ,2136 ,884 ,1311 ,798 ,0 ,,,
40 ,3390 ,2261 ,1129 ,1414 ,815 ,0 ,,,
41 ,4426 ,4425 ,1 ,2196 ,2201 ,1 ,,,
42 ,2570 ,1526 ,1044 ,955 ,557 ,0 ,,,
43 ,2845 ,1996 ,849 ,1251 ,722 ,0 ,,,
44 ,3093 ,2155 ,938 ,1330 ,796 ,0 ,,,
45 ,3059 ,2150 ,909 ,1315 ,813 ,0 ,,,
46 ,4221 ,4221 ,0 ,2387 ,1792 ,1 ,,,
47 ,3374 ,2055 ,1319 ,1410 ,610 ,0 ,,,
48 ,3043 ,1974 ,1069 ,1368 ,584 ,0 ,,,
49 ,2896 ,1918 ,978 ,1308 ,583 ,0 ,,,
