unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,6487,6481,6,2976,1820,1,DPK,None
2,2051,2051,0,972,668,1,,
3,4857,2300,2557,1080,763,0,,
4,4834,2225,2609,1097,626,0,,
5,4101,1864,2237,903,581,0,,
6,3972,1894,2078,832,639,0,,
7,4674,2241,2433,1014,741,0,,
8,3921,1912,2009,821,642,0,,
9,2195,2195,0,1065,723,1,,
10,2980,1246,1734,612,388,0,,
11,3053,1404,1649,702,459,0,,
12,3193,1661,1532,802,526,0,,
13,3455,1661,1794,796,542,0,,
14,3315,1710,1605,783,566,0,,
15,3295,1468,1827,736,432,0,,
16,3444,1646,1798,802,538,0,,
17,2961,1499,1462,757,441,0,,
18,104,103,1,30,53,1,,
19,699,276,423,124,83,0,,
20,1051,1042,9,365,497,1,,
21,2313,1429,884,483,727,0,,
22,3214,2064,1150,862,867,0,,
23,2623,1651,972,578,797,0,,
24,2999,1854,1145,662,941,0,,
25,3379,1461,1918,805,307,0,,
26,1958,1958,0,924,718,1,,
27,4326,1811,2515,846,626,0,,
28,3483,1469,2014,670,513,0,,
29,3470,1640,1830,770,590,0,,
30,3660,1818,1842,894,577,0,,
31,3827,1977,1850,920,680,0,,
32,3944,1863,2081,913,583,0,,
33,2764,2764,0,1236,1139,1,,
34,2596,1502,1094,699,599,0,,
35,3600,2135,1465,902,889,0,,
36,3706,1847,1859,850,692,0,,
37,3121,1767,1354,667,830,0,,
38,3554,2062,1492,941,803,0,,
39,2971,1794,1177,794,759,0,,
40,3445,2095,1350,922,870,0,,
41,2103,2103,0,827,1020,1,,
42,2758,1776,982,682,839,0,,
43,3639,1975,1664,761,941,0,,
44,2766,1790,976,668,818,0,,
45,1969,1180,789,288,721,0,,
46,3610,2238,1372,803,1054,0,,
47,2748,1763,985,638,871,0,,
48,4007,2450,1557,940,1180,0,,
49,4109,2705,1404,1072,1225,0,,
50,834,825,9,240,494,0,,
51,3880,2328,1552,649,1350,0,,
52,3566,2283,1283,837,1147,0,,
