unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1 ,8830 ,8816 ,14 ,3802 ,3436 ,1 ,DPK,SP
2 ,1023 ,1023 ,0 ,420 ,423 ,1 ,,
3 ,4083 ,2204 ,1879 ,914 ,891 ,0 ,,
4 ,2865 ,1564 ,1301 ,649 ,646 ,0 ,,
5 ,3866 ,2374 ,1492 ,815 ,1169 ,0 ,,
6 ,1610 ,1609 ,1 ,720 ,658 ,1 ,,
7 ,2199 ,1099 ,1100 ,451 ,467 ,0 ,,
8 ,3303 ,1510 ,1793 ,638 ,605 ,0 ,,
9 ,2941 ,1627 ,1314 ,645 ,689 ,0 ,,
10 ,3428 ,2125 ,1303 ,1082 ,720 ,0 ,,
11 ,4063 ,2625 ,1438 ,1185 ,1019 ,0 ,,
12 ,1248 ,1248 ,0 ,568 ,485 ,1 ,,
13 ,3233 ,1586 ,1647 ,679 ,663 ,0 ,,
14 ,3369 ,1650 ,1719 ,709 ,637 ,0 ,,
15 ,3624 ,1818 ,1806 ,740 ,757 ,0 ,,
16 ,2961 ,1434 ,1527 ,570 ,626 ,0 ,,
17 ,3835 ,2394 ,1441 ,1101 ,874 ,0 ,,
18 ,1471 ,1471 ,0 ,679 ,554 ,1 ,,
19 ,4034 ,1889 ,2145 ,828 ,746 ,0 ,,
20 ,4067 ,2052 ,2015 ,859 ,834 ,0 ,,
21 ,4267 ,2255 ,2012 ,1001 ,861 ,0 ,,
22 ,3713 ,2029 ,1684 ,896 ,811 ,0 ,,
23 ,2026 ,2026 ,0 ,855 ,888 ,1 ,,
24 ,4282 ,2458 ,1824 ,816 ,1267 ,0 ,,
25 ,4275 ,2500 ,1775 ,1036 ,1046 ,0 ,,
26 ,4057 ,2159 ,1898 ,939 ,845 ,0 ,,
27 ,3726 ,1930 ,1796 ,843 ,771 ,0 ,,
28 ,4212 ,2363 ,1849 ,1104 ,839 ,0 ,,
29 ,3234 ,2038 ,1196 ,894 ,825 ,0 ,,
30 ,3810 ,2188 ,1622 ,1025 ,816 ,0 ,,
31 ,1791 ,1790 ,1 ,791 ,702 ,1 ,,
32 ,3325 ,1476 ,1849 ,620 ,610 ,0 ,,
33 ,4031 ,2347 ,1684 ,1043 ,887 ,0 ,,
34 ,4056 ,2086 ,1970 ,975 ,759 ,0 ,,
35 ,3575 ,2082 ,1493 ,998 ,783 ,0 ,,
36 ,3476 ,1934 ,1542 ,873 ,701 ,0 ,,
37 ,2393 ,1363 ,1030 ,508 ,615 ,0 ,,
38 ,1849 ,1849 ,0 ,889 ,682 ,1 ,,
39 ,3701 ,1989 ,1712 ,985 ,672 ,0 ,,
40 ,3545 ,2072 ,1473 ,970 ,743 ,0 ,,
41 ,3797 ,2713 ,1084 ,1328 ,1045 ,0 ,,
42 ,3402 ,2203 ,1199 ,974 ,937 ,0 ,,
43 ,3575 ,2166 ,1409 ,832 ,961 ,0 ,,
44 ,3259 ,2053 ,1206 ,901 ,814 ,0 ,,
45 ,3305 ,2079 ,1226 ,878 ,845 ,0 ,,
46 ,1508 ,1508 ,0 ,713 ,568 ,1 ,,
47 ,4314 ,2115 ,2199 ,969 ,762 ,0 ,,
48 ,3382 ,2089 ,1293 ,918 ,812 ,0 ,,
49 ,3992 ,2005 ,1987 ,960 ,722 ,0 ,,
50 ,4417 ,2996 ,1421 ,974 ,1605 ,0 ,,
51 ,2066 ,2066 ,0 ,994 ,721 ,1 ,,
52 ,4004 ,2168 ,1836 ,1041 ,750 ,0 ,,
53 ,2766 ,1560 ,1206 ,653 ,633 ,0 ,,
54 ,3679 ,2019 ,1660 ,832 ,821 ,0 ,,
55 ,3091 ,1772 ,1319 ,857 ,626 ,0 ,,
56 ,4331 ,2466 ,1865 ,1108 ,937 ,0 ,,
57 ,3952 ,2387 ,1565 ,1154 ,830 ,0 ,,
58 ,3428 ,2166 ,1262 ,1065 ,763 ,0 ,,
59 ,983 ,982 ,1 ,558 ,297 ,1 ,,
60 ,3379 ,2071 ,1308 ,1215 ,615 ,0 ,,
61 ,2110 ,1320 ,790 ,718 ,451 ,0 ,,
62 ,2124 ,1267 ,857 ,664 ,415 ,0 ,,
