unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing,
1 ,14286 ,14255 ,31 ,8377 ,4992 ,1 ,DPK,UFP,
2 ,2981 ,2981 ,0 ,1793 ,1002 ,1 ,,,
3 ,3106 ,1686 ,1420 ,741 ,790 ,0 ,,,
4 ,2350 ,1305 ,1045 ,605 ,587 ,0 ,,,
5 ,2639 ,1627 ,1012 ,708 ,803 ,0 ,,,
6 ,3730 ,3729 ,1 ,2261 ,1217 ,1 ,,,
7 ,2189 ,1040 ,1149 ,450 ,486 ,0 ,,,
8 ,2225 ,1195 ,1030 ,563 ,483 ,0 ,,,
9 ,3213 ,2037 ,1176 ,1008 ,899 ,0 ,,,
10 ,2717 ,1678 ,1039 ,877 ,678 ,0 ,,,
11 ,2016 ,2015 ,1 ,1236 ,676 ,1 ,,,
12 ,2488 ,1211 ,1277 ,606 ,527 ,0 ,,,
13 ,2598 ,1300 ,1298 ,651 ,549 ,0 ,,,
14 ,2700 ,1391 ,1309 ,684 ,599 ,0 ,,,
15 ,2243 ,1114 ,1129 ,517 ,511 ,0 ,,,
16 ,3371 ,2135 ,1236 ,1134 ,868 ,0 ,,,
17 ,4813 ,4813 ,0 ,2983 ,1544 ,1 ,,,
18 ,3297 ,1473 ,1824 ,718 ,649 ,0 ,,,
19 ,3113 ,1560 ,1553 ,717 ,730 ,0 ,,,
20 ,3833 ,2232 ,1601 ,1148 ,908 ,0 ,,,
21 ,3050 ,1757 ,1293 ,897 ,726 ,0 ,,,
22 ,6279 ,6279 ,0 ,3604 ,2508 ,1 ,,,
23 ,3130 ,1822 ,1308 ,490 ,1276 ,0 ,,,
24 ,3388 ,2192 ,1196 ,853 ,1258 ,0 ,,,
25 ,2921 ,1773 ,1148 ,873 ,820 ,0 ,,,
26 ,3741 ,2209 ,1532 ,1072 ,1012 ,0 ,,,
27 ,3541 ,2103 ,1438 ,1050 ,964 ,0 ,,,
28 ,2744 ,1895 ,849 ,801 ,1000 ,0 ,,,
29 ,3603 ,2086 ,1517 ,1056 ,895 ,0 ,,,
30 ,2870 ,1827 ,1043 ,1014 ,724 ,0 ,,,
31 ,4474 ,4474 ,0 ,2675 ,1662 ,1 ,,,
32 ,2838 ,1348 ,1490 ,580 ,708 ,0 ,,,
33 ,3492 ,2110 ,1382 ,1003 ,1032 ,0 ,,,
34 ,3428 ,1894 ,1534 ,917 ,882 ,0 ,,,
35 ,2103 ,1260 ,843 ,587 ,617 ,0 ,,,
36 ,2879 ,1734 ,1145 ,907 ,729 ,0 ,,,
37 ,2583 ,1622 ,961 ,642 ,940 ,0 ,,,
38 ,4980 ,4980 ,0 ,2970 ,1851 ,1 ,,,
39 ,3015 ,1639 ,1376 ,838 ,729 ,0 ,,,
40 ,2880 ,1784 ,1096 ,873 ,825 ,0 ,,,
41 ,3262 ,2402 ,860 ,1162 ,1143 ,0 ,,,
42 ,2730 ,1873 ,857 ,757 ,1038 ,0 ,,,
43 ,2962 ,1868 ,1094 ,680 ,1101 ,0 ,,,
44 ,2944 ,1942 ,1002 ,861 ,997 ,0 ,,,
45 ,2889 ,2015 ,874 ,895 ,1012 ,0 ,,,
46 ,3879 ,3879 ,0 ,2367 ,1384 ,1 ,,,
47 ,3746 ,1912 ,1834 ,989 ,825 ,0 ,,,
48 ,2762 ,1762 ,1000 ,772 ,912 ,0 ,,,
49 ,3323 ,1735 ,1588 ,876 ,730 ,0 ,,,
50 ,3658 ,2576 ,1082 ,709 ,1818 ,0 ,,,
51 ,5912 ,5912 ,0 ,3711 ,1982 ,1 ,,,
52 ,2224 ,1162 ,1062 ,595 ,510 ,0 ,,,
53 ,2280 ,1344 ,936 ,618 ,651 ,0 ,,,
54 ,3183 ,1806 ,1377 ,948 ,745 ,0 ,,,
55 ,2112 ,1261 ,851 ,623 ,581 ,0 ,,,
56 ,3516 ,2143 ,1373 ,1013 ,1001 ,0 ,,,
57 ,3239 ,2158 ,1081 ,1134 ,930 ,0 ,,,
58 ,2833 ,1853 ,980 ,965 ,794 ,0 ,,,
59 ,5079 ,5079 ,0 ,3046 ,1858 ,1 ,,,
60 ,2776 ,1769 ,1007 ,666 ,1039 ,0 ,,,
61 ,3293 ,2097 ,1196 ,1118 ,880 ,0 ,,,
62 ,2460 ,1569 ,891 ,766 ,721 ,0 ,,,
63 ,2020 ,1059 ,961 ,396 ,588 ,0 ,,,
64 ,3184 ,2163 ,1021 ,1303 ,764 ,0 ,,,
