unit,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,7906,7904,2,3801,2533,1,DPK,SP
2,1440,1440,0,765,464,1,,
3,4101,1969,2132,1014,605,0,,
4,3173,1563,1610,717,530,0,,
5,3292,1768,1524,764,677,0,,
6,3428,1780,1648,814,593,0,,
7,831,831,0,365,302,1,,
8,3015,1496,1519,647,546,0,,
9,2041,1048,993,446,421,0,,
10,1998,1162,836,522,407,0,,
11,2012,1027,985,458,337,0,,
12,732,732,0,315,274,1,,
13,3641,1598,2043,728,556,0,,
14,3168,1416,1752,516,577,0,,
15,1132,1132,0,616,289,1,,
16,2355,1188,1167,498,448,0,,
17,2490,1226,1264,517,432,0,,
18,2760,1433,1327,695,464,0,,
19,3285,1717,1568,787,528,0,,
20,2473,1341,1132,613,420,0,,
21,3001,1396,1605,630,417,0,,
22,977,977,0,489,346,1,,
23,3084,1793,1291,775,652,0,,
24,2737,1506,1231,664,557,0,,
25,4305,2351,1954,1106,814,0,,
26,1007,1007,0,484,347,1,,
27,4565,2665,1900,1096,1029,0,,
28,3258,1907,1351,757,762,0,,
29,3232,1852,1380,788,671,0,,
30,830,829,1,384,274,1,,
31,2384,1313,1071,557,445,0,,
32,2221,1388,833,632,501,0,,
33,2322,1283,1039,531,496,0,,
34,1059,1059,0,527,371,1,,
35,3503,1784,1719,821,572,0,,
36,2750,1521,1229,649,551,0,,
37,2971,1996,975,892,723,0,,
38,950,949,1,432,354,1,,
39,2521,1385,1136,575,594,0,,
40,1757,473,1284,177,225,0,,
41,1602,821,781,394,317,0,,
42,4001,2206,1795,693,1227,0,,
43,1770,874,896,367,375,0,,
44,2415,2414,1,1003,1116,1,,
45,4034,2228,1806,742,1204,0,,
46,5073,2634,2439,1103,1089,0,,
47,3398,2047,1351,667,1050,0,,
48,3665,2309,1356,978,972,0,,
49,2694,1563,1131,491,857,0,,
50,698,698,0,263,344,1,,
51,2396,1280,1116,507,511,0,,
52,2152,1320,832,464,656,0,,
53,2503,1599,904,650,682,0,,
54,647,647,0,345,222,1,,
55,3881,1697,2184,630,802,0,,
56,2309,1043,1266,390,493,0,,
57,671,671,0,294,271,1,,
58,3143,1434,1709,625,576,0,,
59,2598,1356,1242,567,576,0,,
60,1914,986,928,425,410,0,,
61,967,967,0,428,371,1,,
62,3189,1659,1530,720,666,0,,
63,2970,1307,1663,570,466,0,,
64,4248,1794,2454,627,899,0,,
65,2929,1249,1680,517,496,0,,
66,3765,1230,2535,550,455,0,,
67,877,877,0,299,450,1,,
68,2745,1728,1017,526,884,0,,
69,2332,1191,1141,498,494,0,,
70,2955,1787,1168,464,1143,0,,
71,1530,681,849,230,327,0,,
72,1070,1070,0,446,458,1,,
73,3833,1577,2256,635,648,0,,
74,3053,1539,1514,648,570,0,,
75,3316,1572,1744,601,635,0,,
76,2712,1440,1272,580,605,0,,
