"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.95731807498,0.033216685284272,0.889918,0.999383
"2","pi[2]","Incremental Fraud",0.028257923602056,0.0301458402041309,8.53279e-08,0.0911035
"3","pi[3]","Extreme Fraud",0.0144240000197792,0.0142018630638305,4.36627e-09,0.0429699
"4","beta.tau","(Intercept)",1.168402341787,0.232993219428947,0.711308,1.62479
"5","beta.nu","(Intercept)",0.0613497463016345,0.0445767558582414,-0.0261937,0.148468
"6","beta.iota.m[1]","(Intercept)",-0.160784095447428,0.626905042882188,-1.65366,0.861885
"7","beta.iota.m[2]","ind",0.359014096996083,0.750950682349014,-1.05288,2.02281
"8","beta.iota.s[1]","(Intercept)",-0.0381735560194724,0.898878160272811,-1.48244,1.7275
"9","beta.iota.s[2]","ind",-0.087754467444501,0.871903491556321,-1.80646,1.29005
"10","beta.chi.m[1]","(Intercept)",0.325833983485106,0.752543129180934,-1.55801,1.61555
"11","beta.chi.m[2]","ind",0.22143808582756,0.970646687435761,-1.90815,2.10514
"12","beta.chi.s[1]","(Intercept)",0.305692343672007,0.936722539172717,-2.1562,1.90552
"13","beta.chi.s[2]","ind",0.224963278701867,1.00137367852307,-1.68622,2.15666
