"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.82588501933,0.064036345749775,0.702362,0.954998
"2","pi[2]","Incremental Fraud",0.15458763895759,0.061793033196041,0.0255389,0.269733
"3","pi[3]","Extreme Fraud",0.0195273403938147,0.0193578775388031,1.18696e-07,0.0578664
"4","beta.tau","(Intercept)",1.35936014228,0.280960859504971,0.81236,1.91512
"5","beta.nu","(Intercept)",-0.0494489775786286,0.03947220524969,-0.12394,0.0316588
"6","beta.iota.m[1]","(Intercept)",1.1739568084525,0.783024369280937,-0.645843,2.43207
"7","beta.iota.m[2]","ind",1.1295169208058,0.986601130121782,-1.29735,2.68558
"8","beta.iota.s[1]","(Intercept)",-0.185165783861766,0.670507501165498,-1.41711,1.15191
"9","beta.iota.s[2]","ind",-0.3476025891889,0.626085037852304,-1.64916,0.868026
"10","beta.chi.m[1]","(Intercept)",0.55933228586383,0.733134186242227,-0.880662,2.18758
"11","beta.chi.m[2]","ind",-0.089425665736296,0.884523417061049,-1.66417,1.78164
"12","beta.chi.s[1]","(Intercept)",0.0450454452701235,1.01437211387989,-1.63792,1.83482
"13","beta.chi.s[2]","ind",-0.243947348620843,1.15040951409903,-2.56531,1.68997
