"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",89.893,10.107,0
"Z[2]",96.634,3.366,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",99.563,0.437,0
"Z[6]",98.963,1.037,0
"Z[7]",99.985,0.015,0
"Z[8]",94.689,5.311,0
"Z[9]",99.974,0.026,0
"Z[10]",99.913,0.087,0
"Z[11]",99.882,0.118,0
"Z[12]",100,0,0
"Z[13]",100,0,0
"Z[14]",100,0,0
"Z[15]",98.331,1.669,0
"Z[16]",99.615,0.385,0
"Z[17]",100,0,0
"Z[18]",99.982,0.018,0
"Z[19]",100,0,0
"Z[20]",100,0,0
"Z[21]",100,0,0
"Z[22]",98.996,1.004,0
"Z[23]",99.998,0.002,0
"Z[24]",100,0,0
"Z[25]",100,0,0
"Z[26]",99.327,0.673,0
"Z[27]",99.996,0.004,0
"Z[28]",100,0,0
"Z[29]",97.135,2.865,0
"Z[30]",100,0,0
"Z[31]",99.847,0.153,0
"Z[32]",99.723,0.277,0
"Z[33]",99.973,0.027,0
"Z[34]",99.516,0.484,0
"Z[35]",100,0,0
"Z[36]",100,0,0
"Z[37]",99.125,0.875,0
"Z[38]",100,0,0
"Z[39]",100,0,0
"Z[40]",100,0,0
"Z[41]",100,0,0
"Z[42]",99.994,0.006,0
"Z[43]",100,0,0
"Z[44]",55.5,44.5,0
"Z[45]",99.99,0.01,0
"Z[46]",98.91,1.09,0
"Z[47]",99.995,0.005,0
"Z[48]",100,0,0
"Z[49]",100,0,0
"Z[50]",99.932,0.068,0
