"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.94477023092,0.0373598473425694,0.872004,0.998037
"2","pi[2]","Incremental Fraud",0.0352369726179288,0.0323429433551477,2.88722e-07,0.0992243
"3","pi[3]","Extreme Fraud",0.0199927977653001,0.0194443045366876,1.37202e-07,0.0593795
"4","beta.tau","(Intercept)",1.180659596496,0.273586865307866,0.637497,1.70905
"5","beta.nu","(Intercept)",-0.091585170395288,0.0304183064048833,-0.151017,-0.0312517
"6","beta.iota.m[1]","(Intercept)",-0.0927174013640364,0.969734924999363,-1.8514,1.87147
"7","beta.iota.m[2]","ind",0.189679528900086,1.1069083170769,-2.03463,2.00678
"8","beta.iota.s[1]","(Intercept)",-0.623208055657084,1.06370022907743,-2.3539,1.21946
"9","beta.iota.s[2]","ind",-0.438084266627118,0.905291438152324,-2.18303,1.31768
"10","beta.chi.m[1]","(Intercept)",-0.111915787028188,0.93282282466496,-2.23925,1.49258
"11","beta.chi.m[2]","ind",0.121283301872731,0.959776377112342,-1.67722,2.0416
"12","beta.chi.s[1]","(Intercept)",-0.0746768618616559,0.683828070007522,-1.5818,1.03847
"13","beta.chi.s[2]","ind",-0.0997598455916914,1.02359063436452,-2.07003,1.94014
