"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",87.52,12.48,0
"Z[2]",96.953,3.047,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",100,0,0
"Z[6]",86.383,13.617,0
"Z[7]",100,0,0
"Z[8]",100,0,0
"Z[9]",100,0,0
"Z[10]",99.999,0.001,0
"Z[11]",80.914,19.086,0
"Z[12]",99.941,0.059,0
"Z[13]",100,0,0
"Z[14]",99.972,0.028,0
"Z[15]",99.999,0.001,0
"Z[16]",98.989,1.011,0
"Z[17]",100,0,0
"Z[18]",100,0,0
"Z[19]",100,0,0
"Z[20]",100,0,0
"Z[21]",98.646,1.354,0
"Z[22]",99.991,0.009,0
"Z[23]",100,0,0
"Z[24]",99.961,0.039,0
"Z[25]",66.757,33.243,0
"Z[26]",100,0,0
"Z[27]",99.98,0.02,0
"Z[28]",100,0,0
"Z[29]",99.901,0.099,0
"Z[30]",99.522,0.478,0
"Z[31]",86.896,13.104,0
"Z[32]",100,0,0
"Z[33]",100,0,0
"Z[34]",99.999,0.001,0
"Z[35]",99.924,0.076,0
"Z[36]",69.384,30.616,0
"Z[37]",99.989,0.011,0
"Z[38]",100,0,0
"Z[39]",99.999,0.001,0
"Z[40]",56.81,43.19,0
"Z[41]",99.457,0.543,0
"Z[42]",100,0,0
"Z[43]",100,0,0
"Z[44]",99.902,0.098,0
"Z[45]",100,0,0
"Z[46]",97.012,2.988,0
"Z[47]",100,0,0
"Z[48]",100,0,0
"Z[49]",100,0,0
"Z[50]",99.998,0.002,0
"Z[51]",100,0,0
"Z[52]",99.915,0.085,0
"Z[53]",50.372,49.628,0
"Z[54]",96.949,3.051,0
"Z[55]",99.995,0.005,0
"Z[56]",98.645,1.355,0
"Z[57]",98.018,1.982,0
"Z[58]",100,0,0
"Z[59]",100,0,0
"Z[60]",100,0,0
"Z[61]",79.892,20.108,0
"Z[62]",99.979,0.021,0
"Z[63]",99.995,0.005,0
"Z[64]",100,0,0
"Z[65]",100,0,0
