"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.81062134171,0.0554640638816974,0.702023,0.9173
"2","pi[2]","Incremental Fraud",0.174237461855,0.0542225089301434,0.0729743,0.283335
"3","pi[3]","Extreme Fraud",0.0151411953716839,0.0147240742886903,4.35124e-07,0.0446209
"4","beta.tau","(Intercept)",1.59944203969,0.276901375270371,1.06571,2.15411
"5","beta.nu","(Intercept)",-0.0188503819167669,0.0336750313135111,-0.0839908,0.0489105
"6","beta.iota.m[1]","(Intercept)",0.771044660010878,0.958157078334813,-0.880551,2.80068
"7","beta.iota.m[2]","ind",1.04490025555472,1.19879829778551,-1.29189,2.94082
"8","beta.iota.s[1]","(Intercept)",-0.236278184440186,0.680335055817655,-1.39883,1.04371
"9","beta.iota.s[2]","ind",-0.472593561734248,0.662836346972787,-1.71355,0.713144
"10","beta.chi.m[1]","(Intercept)",-0.102432744295378,1.02517867079447,-1.86665,1.98548
"11","beta.chi.m[2]","ind",-0.03562038161483,1.00027241686856,-2.32273,1.66099
"12","beta.chi.s[1]","(Intercept)",-0.080013209443662,0.797874835014268,-1.6783,1.33938
"13","beta.chi.s[2]","ind",0.097831820368331,1.09406048295214,-2.15629,2.72938
