"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.92810886762,0.113686709750522,0.593971,0.999728
"2","pi[2]","Incremental Fraud",0.0594681722272027,0.113313762096729,3.24526e-07,0.394816
"3","pi[3]","Extreme Fraud",0.0124229609612705,0.0121295569705646,1.82502e-07,0.0370679
"4","beta.tau","(Intercept)",1.64977503777,0.261696274622407,1.13502,2.16076
"5","beta.nu","(Intercept)",-0.47943613368,0.039702952759136,-0.58201,-0.4149
"6","beta.iota.m[1]","(Intercept)",-0.571864711445543,1.34526882429107,-3.35449,1.62914
"7","beta.iota.m[2]","ind",0.426469054421305,1.25550260427844,-1.58921,3.40067
"8","beta.iota.s[1]","(Intercept)",-0.683986047017177,0.900136841343196,-2.93095,0.577881
"9","beta.iota.s[2]","ind",-0.058650898661635,0.966188844203485,-2.05904,1.63687
"10","beta.chi.m[1]","(Intercept)",0.390526004069242,1.13571343709136,-1.57051,2.43413
"11","beta.chi.m[2]","ind",-0.183283441236307,0.956010975775778,-1.9031,1.73326
"12","beta.chi.s[1]","(Intercept)",-0.271399213611822,0.971712338396108,-2.07235,1.5629
"13","beta.chi.s[2]","ind",-0.067367962346948,0.981288339334607,-1.82706,1.95886
