"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",75.421,24.579,0
"Z[2]",56.15,43.85,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",97.099,2.901,0
"Z[6]",100,0,0
"Z[7]",100,0,0
"Z[8]",69.275,30.725,0
"Z[9]",100,0,0
"Z[10]",100,0,0
"Z[11]",24.453,75.547,0
"Z[12]",100,0,0
"Z[13]",100,0,0
"Z[14]",13.882,86.118,0
"Z[15]",100,0,0
"Z[16]",100,0,0
"Z[17]",29.02,70.98,0
"Z[18]",100,0,0
"Z[19]",100,0,0
"Z[20]",52.92,47.08,0
"Z[21]",100,0,0
"Z[22]",100,0,0
"Z[23]",14.141,85.859,0
"Z[24]",100,0,0
"Z[25]",100,0,0
"Z[26]",100,0,0
"Z[27]",12.693,87.307,0
"Z[28]",100,0,0
"Z[29]",100,0,0
"Z[30]",100,0,0
"Z[31]",100,0,0
"Z[32]",28.125,71.875,0
"Z[33]",100,0,0
"Z[34]",100,0,0
"Z[35]",100,0,0
"Z[36]",100,0,0
"Z[37]",100,0,0
"Z[38]",9.253,90.747,0
"Z[39]",100,0,0
"Z[40]",100,0,0
"Z[41]",100,0,0
"Z[42]",100,0,0
"Z[43]",100,0,0
"Z[44]",17.831,82.169,0
"Z[45]",100,0,0
"Z[46]",100,0,0
"Z[47]",100,0,0
"Z[48]",17.439,82.561,0
"Z[49]",100,0,0
"Z[50]",100,0,0
"Z[51]",100,0,0
"Z[52]",100,0,0
"Z[53]",8.912,91.088,0
"Z[54]",100,0,0
"Z[55]",100,0,0
"Z[56]",100,0,0
"Z[57]",23.349,76.651,0
"Z[58]",100,0,0
"Z[59]",100,0,0
"Z[60]",100,0,0
"Z[61]",13.447,86.553,0
"Z[62]",100,0,0
"Z[63]",100,0,0
"Z[64]",100,0,0
"Z[65]",100,0,0
"Z[66]",35.247,64.753,0
"Z[67]",100,0,0
"Z[68]",100,0,0
"Z[69]",100,0,0
"Z[70]",100,0,0
"Z[71]",100,0,0
"Z[72]",43.097,56.903,0
"Z[73]",100,0,0
"Z[74]",100,0,0
"Z[75]",100,0,0
"Z[76]",100,0,0
"Z[77]",71.588,28.412,0
"Z[78]",100,0,0
"Z[79]",100,0,0
"Z[80]",100,0,0
"Z[81]",100,0,0
"Z[82]",100,0,0
"Z[83]",100,0,0
