"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.82083001538,0.0621683401944484,0.711782,0.977006
"2","pi[2]","Incremental Fraud",0.16721632710754,0.0614383336413542,0.000270922,0.261238
"3","pi[3]","Extreme Fraud",0.0119536602259038,0.0117274853939094,3.61676e-08,0.0355492
"4","beta.tau","(Intercept)",1.73941928856,0.265208662345362,1.21712,2.25698
"5","beta.nu","(Intercept)",-0.124819781719003,0.0433264972402327,-0.208409,-0.034776
"6","beta.iota.m[1]","(Intercept)",1.07185427974377,0.742709582835399,-0.43461,2.35869
"7","beta.iota.m[2]","ind",1.49194855208866,0.895977492907675,-0.224534,2.91056
"8","beta.iota.s[1]","(Intercept)",-0.518689996764736,1.09145643156924,-2.75064,0.967137
"9","beta.iota.s[2]","ind",-0.196773815821383,1.19223081170622,-1.86268,2.37149
"10","beta.chi.m[1]","(Intercept)",-0.0962415424343431,0.970001604117697,-2.0108,1.66035
"11","beta.chi.m[2]","ind",-0.181901434281252,1.24032921296414,-2.51947,2.30042
"12","beta.chi.s[1]","(Intercept)",-0.0874778001898453,0.750753877193316,-1.57178,1.77572
"13","beta.chi.s[2]","ind",-0.187183184566484,1.05173272006459,-2.03342,1.55812
