"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.95570000092,0.0315540265385755,0.894841,0.999476
"2","pi[2]","Incremental Fraud",0.0248490059002828,0.0254396120503106,4.24126e-07,0.0750687
"3","pi[3]","Extreme Fraud",0.0194509933824423,0.018990787824646,2.98853e-08,0.0580687
"4","beta.tau","(Intercept)",1.45313954761,0.279627451817363,0.903955,2.00232
"5","beta.nu","(Intercept)",-0.267074010845,0.0390662635079594,-0.343198,-0.189757
"6","beta.iota.m[1]","(Intercept)",-0.533839048471785,0.772488819570358,-1.85386,0.994973
"7","beta.iota.m[2]","ind",0.348312980782276,0.867736184194098,-1.19823,2.0808
"8","beta.iota.s[1]","(Intercept)",-0.330805678101332,0.691908231394782,-1.79026,0.880042
"9","beta.iota.s[2]","ind",-0.258748567288881,0.743432057514893,-1.51511,1.29647
"10","beta.chi.m[1]","(Intercept)",0.602796605004105,0.956956742495808,-1.37473,2.26928
"11","beta.chi.m[2]","ind",-0.300430692000345,0.83350762834178,-1.8253,1.33785
"12","beta.chi.s[1]","(Intercept)",-0.571698165715695,0.933467482299303,-2.26218,1.11326
"13","beta.chi.s[2]","ind",-0.270270812957262,0.97893774053808,-2.13426,1.63576
