"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",92.87,7.13,0
"Z[2]",92.402,7.598,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",100,0,0
"Z[6]",100,0,0
"Z[7]",91.74,8.26,0
"Z[8]",100,0,0
"Z[9]",100,0,0
"Z[10]",100,0,0
"Z[11]",100,0,0
"Z[12]",100,0,0
"Z[13]",100,0,0
"Z[14]",89.886,10.114,0
"Z[15]",100,0,0
"Z[16]",99.999,0.001,0
"Z[17]",71.754,28.246,0
"Z[18]",92.256,7.744,0
"Z[19]",100,0,0
"Z[20]",100,0,0
"Z[21]",100,0,0
"Z[22]",100,0,0
"Z[23]",100,0,0
"Z[24]",76.251,23.749,0
"Z[25]",40.444,59.556,0
"Z[26]",69.102,30.898,0
"Z[27]",60,40,0
"Z[28]",60,40,0
"Z[29]",91.78,8.22,0
"Z[30]",100,0,0
"Z[31]",100,0,0
"Z[32]",100,0,0
"Z[33]",100,0,0
"Z[34]",100,0,0
"Z[35]",100,0,0
"Z[36]",88.078,11.922,0
"Z[37]",90,10,0
"Z[38]",100,0,0
"Z[39]",100,0,0
"Z[40]",100,0,0
"Z[41]",84.039,15.961,0
"Z[42]",90,10,0
"Z[43]",90,10,0
"Z[44]",90,10,0
"Z[45]",89.998,10.002,0
"Z[46]",68.562,31.438,0
"Z[47]",80,20,0
"Z[48]",90,10,0
"Z[49]",69.992,30.008,0
