"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",74.564,25.436,0
"Z[2]",88.484,11.516,0
"Z[3]",90,10,0
"Z[4]",100,0,0
"Z[5]",100,0,0
"Z[6]",100,0,0
"Z[7]",100,0,0
"Z[8]",100,0,0
"Z[9]",100,0,0
"Z[10]",91.018,8.982,0
"Z[11]",100,0,0
"Z[12]",100,0,0
"Z[13]",100,0,0
"Z[14]",100,0,0
"Z[15]",100,0,0
"Z[16]",100,0,0
"Z[17]",100,0,0
"Z[18]",71.567,28.433,0
"Z[19]",90,10,0
"Z[20]",90,10,0
"Z[21]",89.455,10.545,0
"Z[22]",90,10,0
"Z[23]",90,10,0
"Z[24]",73.661,26.339,0
"Z[25]",61.436,38.564,0
"Z[26]",80,20,0
"Z[27]",50,50,0
"Z[28]",100,0,0
"Z[29]",100,0,0
"Z[30]",100,0,0
"Z[31]",93.119,6.881,0
"Z[32]",100,0,0
"Z[33]",100,0,0
"Z[34]",100,0,0
"Z[35]",100,0,0
"Z[36]",100,0,0
"Z[37]",97.858,2.142,0
"Z[38]",79.261,20.739,0
"Z[39]",80.041,19.959,0
"Z[40]",90,10,0
"Z[41]",90,10,0
"Z[42]",90,10,0
"Z[43]",88.099,11.901,0
"Z[44]",100,0,0
"Z[45]",80,20,0
"Z[46]",75.425,24.575,0
"Z[47]",81.294,18.706,0
"Z[48]",90,10,0
"Z[49]",80,20,0
"Z[50]",57.394,42.606,0
"Z[51]",90,10,0
"Z[52]",94.601,5.399,0
"Z[53]",70,30,0
"Z[54]",90,10,0
"Z[55]",65.655,34.345,0
"Z[56]",43.996,56.004,0
"Z[57]",60.001,39.999,0
