"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.84948920513,0.134240832797428,0.538723,0.997872
"2","pi[2]","Incremental Fraud",0.132812090024964,0.133392727048809,1.24341e-06,0.442232
"3","pi[3]","Extreme Fraud",0.0176987037822271,0.017195628213367,1.25209e-08,0.0526103
"4","beta.tau","(Intercept)",1.509900940062,0.290825741931854,0.952015,2.08892
"5","beta.nu","(Intercept)",0.0255855697041618,0.119145644516872,-0.241741,0.222192
"6","beta.iota.m[1]","(Intercept)",-0.370656209558277,0.746065920729184,-1.95006,0.793081
"7","beta.iota.m[2]","ind",0.395166697871724,1.21032637890929,-1.80518,2.36172
"8","beta.iota.s[1]","(Intercept)",-0.507098754120742,0.570528596528639,-1.62741,0.527825
"9","beta.iota.s[2]","ind",-0.55821838035422,1.02217557969211,-2.41954,1.11855
"10","beta.chi.m[1]","(Intercept)",-0.273642003031438,0.931548226434652,-2.14896,1.34496
"11","beta.chi.m[2]","ind",-0.12295907074563,1.09313756579369,-2.30674,1.68101
"12","beta.chi.s[1]","(Intercept)",0.068776408123832,0.973198732350519,-1.66387,2.14517
"13","beta.chi.s[2]","ind",-0.41182584223611,0.899936103808817,-2.02397,1.28244
