"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.95910738083,0.0284519266675048,0.903056,0.99876
"2","pi[2]","Incremental Fraud",0.0245794160066942,0.02350679332471,1.06571e-06,0.0718289
"3","pi[3]","Extreme Fraud",0.0163132019258127,0.0163398905853515,2.61287e-07,0.0486121
"4","beta.tau","(Intercept)",1.37315341724,0.255922080449656,0.870402,1.87342
"5","beta.nu","(Intercept)",-0.22233213866,0.0274541076106032,-0.276962,-0.168941
"6","beta.iota.m[1]","(Intercept)",0.05957196792536,1.49247841241033,-2.54758,2.63702
"7","beta.iota.m[2]","ind",0.388377602112639,0.782904799676645,-1.1326,1.97214
"8","beta.iota.s[1]","(Intercept)",-0.075966646563276,0.72094850004976,-1.31733,1.40708
"9","beta.iota.s[2]","ind",-0.25587318672727,1.08286781553931,-2.43949,1.79951
"10","beta.chi.m[1]","(Intercept)",-0.133471767975557,0.949875318391589,-1.95687,1.59327
"11","beta.chi.m[2]","ind",0.0147709617180039,1.01105430783806,-1.92541,2.0049
"12","beta.chi.s[1]","(Intercept)",-0.02736748082221,1.04056823681987,-1.837,2.0331
"13","beta.chi.s[2]","ind",0.20616661744425,1.17027963902516,-1.91852,2.57694
