"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",80,20,0
"Z[2]",42.975,57.025,0
"Z[3]",99.988,0.012,0
"Z[4]",99.913,0.087,0
"Z[5]",99.796,0.204,0
"Z[6]",29.93,70.07,0
"Z[7]",99.952,0.048,0
"Z[8]",99.967,0.033,0
"Z[9]",99.743,0.257,0
"Z[10]",99.014,0.986,0
"Z[11]",32.316,67.684,0
"Z[12]",99.354,0.646,0
"Z[13]",99.967,0.033,0
"Z[14]",99.941,0.059,0
"Z[15]",99.923,0.077,0
"Z[16]",99.93,0.07,0
"Z[17]",45.197,54.803,0
"Z[18]",99.89,0.11,0
"Z[19]",99.998,0.002,0
"Z[20]",99.995,0.005,0
"Z[21]",99.911,0.089,0
"Z[22]",36.556,63.444,0
"Z[23]",100,0,0
"Z[24]",100,0,0
"Z[25]",99.934,0.066,0
"Z[26]",99.739,0.261,0
"Z[27]",99.886,0.114,0
"Z[28]",99.985,0.015,0
"Z[29]",99.597,0.403,0
"Z[30]",99.543,0.457,0
"Z[31]",41.225,58.775,0
"Z[32]",100,0,0
"Z[33]",98.756,1.244,0
"Z[34]",99.523,0.477,0
"Z[35]",99.871,0.129,0
"Z[36]",99.726,0.274,0
"Z[37]",99.855,0.145,0
"Z[38]",79.073,20.927,0
"Z[39]",99.874,0.126,0
"Z[40]",99.685,0.315,0
"Z[41]",99.506,0.494,0
"Z[42]",99.865,0.135,0
"Z[43]",99.999,0.001,0
"Z[44]",99.934,0.066,0
"Z[45]",99.564,0.436,0
"Z[46]",31.43,68.57,0
"Z[47]",99.87,0.13,0
"Z[48]",99.923,0.077,0
"Z[49]",98.896,1.104,0
"Z[50]",100,0,0
"Z[51]",10.32,89.68,0
"Z[52]",99.746,0.254,0
"Z[53]",99.845,0.155,0
"Z[54]",98.322,1.678,0
"Z[55]",99.818,0.182,0
"Z[56]",99.457,0.543,0
"Z[57]",99.623,0.377,0
"Z[58]",99.919,0.081,0
"Z[59]",39.182,60.818,0
"Z[60]",100,0,0
"Z[61]",99.973,0.027,0
"Z[62]",99.871,0.129,0
"Z[63]",99.994,0.006,0
"Z[64]",97.077,2.923,0
