"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",98.854,1.146,0
"Z[2]",97.961,2.039,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",100,0,0
"Z[6]",100,0,0
"Z[7]",97.651,2.349,0
"Z[8]",100,0,0
"Z[9]",99.956,0.044,0
"Z[10]",99.965,0.035,0
"Z[11]",100,0,0
"Z[12]",97.717,2.283,0
"Z[13]",100,0,0
"Z[14]",100,0,0
"Z[15]",98.081,1.919,0
"Z[16]",100,0,0
"Z[17]",100,0,0
"Z[18]",100,0,0
"Z[19]",100,0,0
"Z[20]",100,0,0
"Z[21]",100,0,0
"Z[22]",97.837,2.163,0
"Z[23]",100,0,0
"Z[24]",100,0,0
"Z[25]",94.364,5.636,0
"Z[26]",98.069,1.931,0
"Z[27]",100,0,0
"Z[28]",99.998,0.002,0
"Z[29]",100,0,0
"Z[30]",98.009,1.991,0
"Z[31]",99.975,0.025,0
"Z[32]",100,0,0
"Z[33]",99.365,0.635,0
"Z[34]",97.642,2.358,0
"Z[35]",100,0,0
"Z[36]",99.726,0.274,0
"Z[37]",100,0,0
"Z[38]",96.495,3.505,0
"Z[39]",99.976,0.024,0
"Z[40]",100,0,0
"Z[41]",99.895,0.105,0
"Z[42]",73.165,26.835,0
"Z[43]",99.991,0.009,0
"Z[44]",94.762,5.238,0
"Z[45]",73.221,26.779,0
"Z[46]",90,10,0
"Z[47]",41.269,58.731,0
"Z[48]",96.96,3.04,0
"Z[49]",44.336,55.664,0
"Z[50]",96.062,3.938,0
"Z[51]",99.822,0.178,0
"Z[52]",99.91,0.09,0
"Z[53]",98.83,1.17,0
"Z[54]",96.712,3.288,0
"Z[55]",100,0,0
"Z[56]",95.332,4.668,0
"Z[57]",97.658,2.342,0
"Z[58]",100,0,0
"Z[59]",100,0,0
"Z[60]",99.445,0.555,0
"Z[61]",96.231,3.769,0
"Z[62]",99.926,0.074,0
"Z[63]",100,0,0
"Z[64]",63.112,36.888,0
"Z[65]",98.629,1.371,0
"Z[66]",100,0,0
"Z[67]",95.166,4.834,0
"Z[68]",99.989,0.011,0
"Z[69]",99.963,0.037,0
"Z[70]",30.762,69.238,0
"Z[71]",100,0,0
"Z[72]",97.38,2.62,0
"Z[73]",100,0,0
"Z[74]",99.658,0.342,0
"Z[75]",100,0,0
"Z[76]",99.9,0.1,0
