"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.92707630905,0.0447351644563264,0.840532,0.996587
"2","pi[2]","Incremental Fraud",0.0594797677315195,0.0429522821077734,4.71851e-06,0.141556
"3","pi[3]","Extreme Fraud",0.0134439229520746,0.013156357501603,1.09164e-08,0.0401236
"4","beta.tau","(Intercept)",1.74665445758,0.286522844097997,1.19675,2.31901
"5","beta.nu","(Intercept)",-0.0937386173643304,0.0599565866681829,-0.207991,0.0257178
"6","beta.iota.m[1]","(Intercept)",-0.212883271919956,1.02413162422716,-2.92516,1.18845
"7","beta.iota.m[2]","ind",0.0571400084375556,0.976677374882447,-1.83896,1.87442
"8","beta.iota.s[1]","(Intercept)",-0.312595209300347,0.899592142955118,-2.21035,1.1472
"9","beta.iota.s[2]","ind",-0.156286123221744,1.15631569117173,-1.90563,2.06195
"10","beta.chi.m[1]","(Intercept)",0.00532025999370104,0.888203422666678,-1.62589,1.76163
"11","beta.chi.m[2]","ind",-0.1777877367495,0.809227260627553,-1.70168,1.41274
"12","beta.chi.s[1]","(Intercept)",-0.156776818169846,0.901455658191805,-1.61038,2.24947
"13","beta.chi.s[2]","ind",-0.512048311536369,0.887282514431757,-2.14118,1.21708
